NumTree,Number_bridges_Of_Question_i,Gender,Age,Number_of_bridges,Delta_Learning_Minutes,depth,Accuracy,correct_model,QuestionId
2,2,Female,35,4,0.366666667,2,80,1,5
2,2,Female,35,4,0.366666667,2,80,1,6
2,2,Female,35,4,0.366666667,2,80,0,7
2,1,Female,35,4,0.366666667,2,80,0,8
2,2,Female,35,4,0.366666667,2,80,1,9
2,2,Female,35,4,0.366666667,2,80,1,10
2,2,Female,35,4,0.366666667,2,80,0,11
2,2,Female,35,4,0.366666667,2,80,1,12
2,1,Female,25,4,1.766666667,2,80,1,1
2,2,Female,25,4,1.766666667,2,80,1,2
2,1,Female,25,4,1.766666667,2,80,1,3
2,1,Female,25,4,1.766666667,2,80,1,4
2,2,Female,25,4,1.766666667,2,80,1,5
2,2,Female,25,4,1.766666667,2,80,1,6
2,2,Female,25,4,1.766666667,2,80,1,7
2,1,Female,25,4,1.766666667,2,80,1,8
2,2,Female,25,4,1.766666667,2,80,1,9
2,2,Female,25,4,1.766666667,2,80,1,10
2,2,Female,25,4,1.766666667,2,80,1,11
2,2,Female,25,4,1.766666667,2,80,1,12
2,1,Female,37,4,0.566666667,2,80,1,1
2,2,Female,37,4,0.566666667,2,80,1,2
2,1,Female,37,4,0.566666667,2,80,1,3
2,1,Female,37,4,0.566666667,2,80,1,4
2,2,Female,37,4,0.566666667,2,80,1,5
2,2,Female,37,4,0.566666667,2,80,0,6
2,2,Female,37,4,0.566666667,2,80,1,7
2,1,Female,37,4,0.566666667,2,80,1,8
2,2,Female,37,4,0.566666667,2,80,0,9
2,2,Female,37,4,0.566666667,2,80,1,10
