NumTree,QuestionId,Number_bridges_Of_Question_i,Gender,Age,Number_of_bridges,Delta_Learning_Minutes,depth,Accuracy,correct_model
3,4,4,Male,43,26,1.166666667,4,89,1
3,5,4,Male,43,26,1.166666667,4,89,0
3,6,2,Male,43,26,1.166666667,4,89,1
3,7,3,Male,43,26,1.166666667,4,89,1
3,8,4,Male,43,26,1.166666667,4,89,0
3,9,3,Male,43,26,1.166666667,4,89,0
3,10,3,Male,43,26,1.166666667,4,89,1
3,11,3,Male,43,26,1.166666667,4,89,1
3,12,3,Male,43,26,1.166666667,4,89,1
3,1,3,Female,36,26,0.833333333,4,89,1
3,2,3,Female,36,26,0.833333333,4,89,0
3,3,4,Female,36,26,0.833333333,4,89,0
3,4,4,Female,36,26,0.833333333,4,89,1
3,5,4,Female,36,26,0.833333333,4,89,1
3,6,2,Female,36,26,0.833333333,4,89,0
3,7,3,Female,36,26,0.833333333,4,89,0
3,8,4,Female,36,26,0.833333333,4,89,0
3,9,3,Female,36,26,0.833333333,4,89,0
3,10,3,Female,36,26,0.833333333,4,89,1
3,11,3,Female,36,26,0.833333333,4,89,0
3,12,3,Female,36,26,0.833333333,4,89,1
3,1,3,Female,33,26,2.4,4,89,1
3,2,3,Female,33,26,2.4,4,89,1
3,3,4,Female,33,26,2.4,4,89,1
3,4,4,Female,33,26,2.4,4,89,0
3,5,4,Female,33,26,2.4,4,89,0
3,6,2,Female,33,26,2.4,4,89,0
3,7,3,Female,33,26,2.4,4,89,1
3,8,4,Female,33,26,2.4,4,89,1
3,9,3,Female,33,26,2.4,4,89,1
3,10,3,Female,33,26,2.4,4,89,0
3,11,3,Female,33,26,2.4,4,89,0
3,12,3,Female,33,26,2.4,4,89,0
3,1,3,Male,57,26,0.766666667,4,89,0
3,2,3,Male,57,26,0.766666667,4,89,1
3,3,4,Male,57,26,0.766666667,4,89,0
3,4,4,Male,57,26,0.766666667,4,89,0
3,5,4,Male,57,26,0.766666667,4,89,1
3,6,2,Male,57,26,0.766666667,4,89,0
3,7,3,Male,57,26,0.766666667,4,89,0
3,8,4,Male,57,26,0.766666667,4,89,1
3,9,3,Male,57,26,0.766666667,4,89,0
3,10,3,Male,57,26,0.766666667,4,89,0
3,11,3,Male,57,26,0.766666667,4,89,1
3,12,3,Male,57,26,0.766666667,4,89,1
3,1,3,Male,36,26,1.033333333,4,89,1
3,2,3,Male,36,26,1.033333333,4,89,0
